assistant,group_term9,group_term10
Alicia HOMS GINEL,S&D,
Alice KUHNKE,G/EFA,
Alicia HOMS GINEL,S&D,
Sándor RÓNAI,S&D,
César LUENA,S&D,
Alicia HOMS GINEL,S&D,
Charlie WEIMERS,ECR,
César LUENA,S&D,
Alicia HOMS GINEL,S&D,
Jan ZAHRADIL,ECR,
Veronika VRECIONOVÁ,ECR,
Evin INCIR,S&D,
Malin BJÖRK,GUE/NGL,
Raffaele FITTO,ECR,
César LUENA,S&D,
Alicia HOMS GINEL,S&D,
Virginie JORON,ID,
Tom VANDENDRIESSCHE,ID,
Łukasz KOHUT,S&D,
Alice KUHNKE,G/EFA,
Pär HOLMGREN,G/EFA,
Tineke STRIK,G/EFA,
César LUENA,S&D,
Alicia HOMS GINEL,S&D,
Maite PAGAZAURTUNDÚA,Renew,
Alicia HOMS GINEL,S&D,
Csaba MOLNÁR,S&D,
César LUENA,S&D,
Derk Jan EPPINK,ECR,
Adrián VÁZQUEZ LÁZARA,,EPP
Martin SONNEBORN,NI,
Esther HERRANZ GARCÍA,,EPP
Damian BOESELAGER,G/EFA,
César LUENA,S&D,
Alicia HOMS GINEL,S&D,
Daniel CASPARY,EPP,
César LUENA,S&D,
Alicia HOMS GINEL,S&D,
Markus BUCHHEIT,ID,
Attila ARA-KOVÁCS,S&D,
Jean-François JALKH,ID,
Paulo RANGEL,EPP,
Jessica STEGRUD,ECR,
René REPASI,S&D,
Alice KUHNKE,G/EFA,
César LUENA,S&D,
Alicia HOMS GINEL,S&D,
Tineke STRIK,G/EFA,
Andrzej HALICKI,EPP,
René REPASI,S&D,
Alice KUHNKE,G/EFA,
Pär HOLMGREN,G/EFA,
Alice KUHNKE,G/EFA,
Pär HOLMGREN,G/EFA,
César LUENA,S&D,
Alicia HOMS GINEL,S&D,
Sylvia LIMMER,ID,
Pedro MARQUES,S&D,
César LUENA,S&D,
Alicia HOMS GINEL,S&D,
Damian BOESELAGER,G/EFA,
Evin INCIR,S&D,
Martina MICHELS,GUE/NGL,
Tineke STRIK,G/EFA,
CARINA OHLSSON,S&D,
Evin INCIR,S&D,
Heléne FRITZON,S&D,
Claudia GAMON,Renew,
Tineke STRIK,G/EFA,
Sven MIKSER,S&D,
Alicia HOMS GINEL,S&D,
Elżbieta Katarzyna ŁUKACIJEWSKA,EPP,
Patryk JAKI,ECR,
René REPASI,S&D,
César LUENA,S&D,
Alicia HOMS GINEL,S&D,
César LUENA,S&D,
Alicia HOMS GINEL,S&D,
César LUENA,S&D,
Alicia HOMS GINEL,S&D,
César LUENA,S&D,
Alicia HOMS GINEL,S&D,
César LUENA,S&D,
Alicia HOMS GINEL,S&D,
César LUENA,S&D,
Iratxe GARCÍA PÉREZ,S&D,
Antonius MANDERS,EPP,
César LUENA,S&D,
Alicia HOMS GINEL,S&D,
César LUENA,S&D,
Alicia HOMS GINEL,S&D,
Adrián VÁZQUEZ LÁZARA,,EPP
César LUENA,S&D,
Alicia HOMS GINEL,S&D,
John HOWARTH,S&D,
Milan UHRÍK,NI,
Alice KUHNKE,G/EFA,
Pär HOLMGREN,G/EFA,
Harald VILIMSKY,ID,
Ana MIRANDA PAZ,,G/EFA
César LUENA,S&D,
Alicia HOMS GINEL,S&D,
Raffaele STANCANELLI,ECR,
César LUENA,S&D,
Alicia HOMS GINEL,S&D,
Isabel SANTOS,S&D,
CARINA OHLSSON,S&D,
Evin INCIR,S&D,
Jiří POSPÍŠIL,EPP,
Tom VANDENDRIESSCHE,ID,
Bernhard ZIMNIOK,ID,
Chiara GEMMA,,ECR
Alicia HOMS GINEL,S&D,
Tineke STRIK,G/EFA,
CARINA OHLSSON,S&D,
Evin INCIR,S&D,
Thijs REUTEN,S&D,
Robert ROOS,ECR,
Tineke STRIK,G/EFA,
Nathalie LOISEAU,Renew,
César LUENA,S&D,
Alicia HOMS GINEL,S&D,
Erik MARQUARDT,G/EFA,
Alice KUHNKE,G/EFA,
Tineke STRIK,G/EFA,
Gunnar BECK,ID,
César LUENA,S&D,
Alicia HOMS GINEL,S&D,
Thomas WAITZ,G/EFA,
